SUBAREA,LON,LAT
MAB,-70.50000,41.16667
MAB,-70.50000,41.00000
MAB,-70.50000,40.83333
MAB,-70.33334,40.83333
MAB,-70.33334,40.66667
MAB,-70.16666,40.66667
MAB,-70.16666,40.50000
MAB,-69.50000,40.50000
MAB,-69.50000,40.33333
MAB,-69.33334,40.33333
MAB,-69.33334,40.00000
MAB,-69.33334,39.83333
MAB,-70.16666,39.83333
MAB,-70.16666,40.00000
MAB,-70.33334,40.00000
MAB,-70.33334,39.83333
MAB,-70.66666,39.83333
MAB,-70.66666,40.00000
MAB,-71.16666,40.00000
MAB,-71.16666,39.83333
MAB,-71.83334,39.83333
MAB,-71.83334,39.66667
MAB,-72.00000,39.66667
MAB,-72.00000,39.50000
MAB,-72.33334,39.50000
MAB,-72.33334,39.16667
MAB,-72.66666,39.16667
MAB,-72.66666,39.00000
MAB,-72.83334,39.00000
MAB,-72.83334,38.83333
MAB,-73.00000,38.83333
MAB,-73.00000,38.66667
MAB,-73.16666,38.66667
MAB,-73.16666,38.50000
MAB,-73.33334,38.50000
MAB,-73.33334,38.33333
MAB,-73.66666,38.33333
MAB,-73.66666,38.16667
MAB,-73.83334,38.16667
MAB,-73.83334,38.00000
MAB,-74.00000,38.00000
MAB,-74.00000,37.83333
MAB,-74.16666,37.83333
MAB,-74.16666,37.66667
MAB,-74.33334,37.66667
MAB,-74.33334,37.50000
MAB,-74.50000,37.50000
MAB,-74.50000,37.00000
MAB,-74.66666,37.00000
MAB,-74.66666,36.33333
MAB,-74.83334,36.33333
MAB,-74.83334,35.83300
MAB,-75.33334,35.83333
MAB,-75.50000,35.83333
MAB,-75.50000,36.00000
MAB,-75.66666,36.00000
MAB,-75.66666,36.16667
MAB,-75.83334,36.16667
MAB,-75.83334,36.83333
MAB,-76.00000,36.83333
MAB,-76.00000,37.00000
MAB,-75.83334,37.00000
MAB,-75.83334,37.16667
MAB,-75.66666,37.16667
MAB,-75.66666,37.50000
MAB,-75.50000,37.50000
MAB,-75.50000,37.83333
MAB,-75.16666,37.83333
MAB,-75.16666,38.33333
MAB,-75.00000,38.33333
MAB,-75.00000,38.50000
MAB,-75.16666,38.50000
MAB,-75.16666,38.66667
MAB,-75.00000,38.66667
MAB,-75.00000,38.83333
MAB,-74.83334,38.83333
MAB,-74.83334,39.00000
MAB,-74.66666,39.00000
MAB,-74.66666,39.16667
MAB,-74.50000,39.16667
MAB,-74.50000,39.33333
MAB,-74.33334,39.33333
MAB,-74.33334,39.50000
MAB,-74.00000,39.50000
MAB,-74.00000,39.66667
MAB,-74.16666,39.66667
MAB,-74.16666,39.83333
MAB,-74.00000,39.83333
MAB,-74.00000,40.16667
MAB,-73.83334,40.16667
MAB,-73.83334,40.50000
MAB,-73.33334,40.50000
MAB,-73.33334,40.66667
MAB,-72.83334,40.66667
MAB,-72.83334,40.83333
MAB,-72.00000,40.83333
MAB,-72.00000,41.00000
MAB,-71.83334,41.00000
MAB,-71.83334,41.16667
MAB,-71.50000,41.16667
MAB,-71.50000,41.33333
MAB,-70.83334,41.33333
MAB,-70.83334,41.16667
MAB,-70.50000,41.16667
GOM,-67.50000,42.00000
GOM,-68.00000,42.00000
GOM,-68.00000,41.83333
GOM,-68.50000,41.83333
GOM,-68.50000,41.66667
GOM,-68.66666,41.66667
GOM,-68.66666,41.50000
GOM,-68.83334,41.50000
GOM,-68.83334,41.33333
GOM,-69.16666,41.33333
GOM,-69.16666,41.50000
GOM,-69.33334,41.50000
GOM,-69.33334,41.66667
GOM,-69.83334,41.66667
GOM,-69.83334,42.00000
GOM,-70.00000,42.00000
GOM,-70.00000,42.16667
GOM,-70.33334,42.16667
GOM,-70.33334,42.00000
GOM,-70.66666,42.00000
GOM,-70.66666,42.33333
GOM,-70.83334,42.33333
GOM,-70.83334,42.50000
GOM,-70.66666,42.50000
GOM,-70.66666,42.66667
GOM,-70.83334,42.66667
GOM,-70.83334,42.83333
GOM,-70.66666,42.83333
GOM,-70.66666,43.16667
GOM,-70.50000,43.16667
GOM,-70.50000,43.33333
GOM,-70.33334,43.33333
GOM,-70.33334,43.50000
GOM,-70.16666,43.50000
GOM,-70.16666,43.66667
GOM,-69.33334,43.66667
GOM,-69.33334,43.83333
GOM,-68.66666,43.83333
GOM,-68.66666,44.00000
GOM,-68.33334,44.00000
GOM,-67.66666,44.00000
GOM,-67.66666,44.16667
GOM,-67.16666,44.16667
GOM,-67.16666,43.66667
GOM,-67.33334,43.66667
GOM,-67.33334,43.33333
GOM,-67.16666,43.33333
GOM,-67.16666,43.16667
GOM,-67.33334,43.16667
GOM,-67.33334,42.50000
GOM,-67.50000,42.50000
GOM,-67.50000,42.00000
SS,-66.00000,41.66667
SS,-66.00000,41.83333
SS,-66.16666,41.83333
SS,-66.16666,42.00000
SS,-66.50000,42.00000
SS,-66.50000,42.16667
SS,-67.33334,42.16667
SS,-67.33334,42.00000
SS,-67.50000,42.00000
SS,-67.50000,42.50000
SS,-67.33334,42.50000
SS,-67.33334,43.16667
SS,-67.16666,43.16667
SS,-67.16666,43.33333
SS,-67.33334,43.33333
SS,-67.33334,43.66667
SS,-67.16666,43.66667
SS,-67.16666,44.16667
SS,-67.66666,44.16667
SS,-67.66666,44.00000
SS,-68.33334,44.00000
SS,-68.33334,44.16667
SS,-68.16666,44.16667
SS,-68.16666,44.33333
SS,-67.83334,44.33333
SS,-67.83334,44.50000
SS,-67.33334,44.50000
SS,-67.33334,44.33333
SS,-66.50000,44.33333
SS,-66.50000,44.16667
SS,-66.33334,44.16667
SS,-66.33334,44.00000
SS,-66.16666,44.00000
SS,-66.16666,43.50000
SS,-66.00000,43.50000
SS,-66.00000,42.66667
SS,-66.16666,42.66667
SS,-66.16666,42.50000
SS,-66.00000,42.50000
SS,-66.00000,42.16667
SS,-65.83334,42.16667
SS,-65.83334,42.00000
SS,-65.66666,42.00000
SS,-65.66666,41.66667
SS,-66.00000,41.66667
GB,-66.00000,41.66667
GB,-66.00000,41.33333
GB,-66.16666,41.33333
GB,-66.16666,41.16667
GB,-66.33334,41.16667
GB,-66.33334,41.00000
GB,-66.50000,41.00000
GB,-66.50000,40.83333
GB,-66.66666,40.83333
GB,-66.66666,40.66667
GB,-67.00000,40.66667
GB,-67.00000,40.50000
GB,-67.33334,40.50000
GB,-67.33334,40.33333
GB,-68.16666,40.33333
GB,-68.16666,40.16667
GB,-68.66666,40.16667
GB,-68.66666,40.00000
GB,-69.33334,40.00000
GB,-69.33334,40.33333
GB,-69.50000,40.33333
GB,-69.50000,40.50000
GB,-70.16666,40.50000
GB,-70.16666,40.66667
GB,-70.33334,40.66667
GB,-70.33334,40.83333
GB,-70.50000,40.83333
GB,-70.50000,41.00000
GB,-70.50000,41.16667
GB,-70.50000,41.16667
GB,-70.50000,41.50000
GB,-69.83334,41.50000
GB,-69.83334,41.66667
GB,-69.33334,41.66667
GB,-69.33334,41.50000
GB,-69.16666,41.50000
GB,-69.16666,41.33333
GB,-68.83334,41.33333
GB,-68.83334,41.50000
GB,-68.66666,41.50000
GB,-68.66666,41.66667
GB,-68.50000,41.66667
GB,-68.50000,41.83333
GB,-68.00000,41.83333
GB,-68.00000,42.00000
GB,-67.50000,42.00000
GB,-67.33334,42.00000
GB,-67.33334,42.16667
GB,-66.50000,42.16667
GB,-66.50000,42.00000
GB,-66.16666,42.00000
GB,-66.16666,41.83333
GB,-66.00000,41.83333
GB,-66.00000,41.66667
