Year,Working group,Report Section,Priority,Request,Source,Progress,Memo Order,Products/ things to work on,New Data opportunities,Notes,Actions
2019,,2-3 pager,,Report card and summary visualizations,Both Councils,SOE new report card table and summary visualizaitions of synthesis themes,1,,,,
2020,Methods/Thresholds,Fish and invertabrates,,"Ecosystem Overfishing indicators (Link and Watson, 2019)",Both Councils,SOE two ecosystem overfishing indicators included,2,Total catch is not straightforward,,,
2020,Human dimension ,Social link to Environment,,"Primary production required, interpretation of decline?",Both Councils,SOE indicator reworked along with Link and Watson metrics,3,,,Mike and Andy's work. Comments/future work - https://github.com/andybeet/indexPPR/blob/master/vignettes/futureWork.knit.md,
2020,LTL/Climate/Habitat,All,,Climate Change context,NEFMC,SOE reorganized; Risks section added emphasizing climate change,4,,,,
2020,Comms,All,1,"Clarify language (e.g., primary production required)",Both Councils,SOE edited by Research Communications Branch; glossary included,5,Plain language glossary,,primary production required / engagement,
2020,Comms,All,1,Copy Editing,Both Councils,SOE edited by Research Communications Branch,6,,,Include RCB in developement,
2020,LTL/Climate/Habitat,Habitat Quality and Ecosystem Productivity,,Ocean Acidification,NEFMC,SOE indicator added with in-situ data linked to preliminary lab work on thresholds,7,,,,
2020,Human Dimensions,Engagement,,Include examples of High/Low engaged ports,NEFMC,SOE indicator reworked to show individual ports and social vulnerability,8,,,,
2020,Human dimensions,Social link to habitat,,Expand wind lease area and habitat overlap ,MAFMC,SOE indicator expanded to rank species with habitat in wind lease areas by landings in wind lease areas,9,,VTR,"apply in fishery context, MARCO products, include ESA spp 
We should get Cooperative Research involved.  Andy Jones has a new position in CRB and would be good to add to the SOE team.",
2020,LTL/Climate/Habitat,Habitat Quality and Ecosystem Productivity,,Expand cold pool index,MAFMC,SOE indicator expanded with modeled data to include area and other attributes,10,,,"timing of formation/descruction and stratification
We do not have the necessary data to look at the seasonal timing.  We would need modeled data for this.",
2020,Megafauna,Fish and Invertabrates,,Seperate Bigelow/Albatross catch diversity metric,MAFMC,SOE indicator added ,11,,,,
2020,Megafauna,Protected Species,,Shark abundance and catch indicators,MAFMC,SOE multiple shark indicators added,12,,VIMS longline,,
2020,Methods,All,,Uncertainty estimates,MAFMC,SOE included for subset of indicators,13,,,,
2020,Megafauna,Protected Species,,Bycatch index,NEFMC,"SOE added seal bycatch indicator, retained harbor porpoise indicator",14,,,,
2019,Megafauna,Protected Species,3,Marine Mammal consumption,MAFMC,"SOE added discussion of seal diets, memo no new consumption ests since Smith et al but could be in the future once work is complete",15,,Herring Assessment,"possibly came from 2012 herring assessment, ask Laurel",
2020,LTL/Climate/Habitat,Habitat Quality and Ecosystem Productivity,,Estuarine Water Quality,NEFMC,SOE Chesapeake indicators updated and expanded,16,,"MARACOOS and NERACOOS, EPA reports","Maybe compile headlines from reports (ches bay, deleware bay, long island sound and NC sounds. ",
2019,,,,Forage abundance,MAFMC,SOE forage anomaly indicator added,17,,,,
2020,All,Social link to Environment,1,Linking Condition ,MAFMC,in progress; not ready for 2021,18,,,"length/weight at age, gaussian network model blue crab example, SEM",
2019,Megafauna,Fish and Invertebrates LINK TO Habitat Quality and Ecosystem Productivity,1,Avg weight of diet components by feeding group,Internal,in progress; part of fish condition,19,Food habits summaries,Bigelow + NEAMAP + longline + seabirds?,"If jellies show up as fluctuating, could be a place to link abundance time series in",
2019,Megafauna,Fish and Invertebrates LINK TO Habitat Quality and Ecosystem Productivity,3,Mean stomach weight across feeding guilds,MAFMC,in progress; stomach fullness analysis started--species level,20,Food habits summaries,Bigelow + NEAMAP + longline + seabirds?,,
2019,LTL/Climate/Habitat,Fish and Invertebrates LINK TO Habitat Quality and Ecosystem Productivity,3,Shellfish growth/distribution linked to climate (system productivity),MAFMC,in progress; project with R Mann student to start 2021,21,Heat wave stuff (Vince),(Roger Mann VIMS data Contribution),,
2020,Human Dimensions & LTL/Climate/Habitat,Social link to Environment,,Cumulative weather index,MAFMC,in progress; data gathered for prototype,22,,,"Explore reduced rec effort/harvest
Should retain a list of anomolous events, large storms (I.e. tropical storms), heatwaves, etc.  Maybe we need to work with the NOAA Eastern Region Climate Services that creates the regional climate reports.",
2019,Human dimension,MAFMC Risk Assessment,2,Management complexity,MAFMC,"in progress; student work needs further analysis, no further work in 2020",23,Complete current project ,Summer student project last year,,
2020,Megafauna,Fish and invertabrates,,VAST and uncertainty ,Both Councils,in progress; not ready for 2021,24,,,Include both VAST and current indicator,
2020,Megafauna,Protected Species,,Seal index,MAFMC,in progress; not ready for 2021,25,,,indices of impact and temporal trends,
2020,Human Dimension,Social link to Environment,,Incorporate social sciences survey from council,NEFMC,unable to start in 2020,26,First step will be to crosswalk indicators with priority concerns expressed,,,
2019,Megafauna,Fish and Invertebrates,3,Young of Year index from multiple surveys,MAFMC,unable to start in 2020,27,,Bigelow + NEAMAP + CHESMAP/other state surveys? + seabirds?,Evaluate resources to do,
2020,Megafauna,Fish and Invertabrates,,Biomass of spp not included in BTS,MAFMC,unable to start in 2020,28,,,,
2019,LTL/Climate/Habitat,Economic and Social (new section Other Ocean Uses?),3,Estuarine condition relative to power plants and temp,MAFMC,unable to start in 2020,29,,"(McKinney 2010, Kim Hyde also on this paper)",,
2019,Methods/Thresholds,All,1,Inflection points for indicators,Both Councils,unable to start in 2020,30,Determining thresholds,All datasets,,
2020,Methods/Multivariate,All,,Reduce indicator dimensionality with multivariate statistics,NEFMC,unable to start in 2020,31,,,,
2020,Methods/Thresholds,All,,Breakpoints,NEFMC,unable to start in 2020,32,,,Explore breakpoints with time lags (SEM?),
2020,All,All,,Re-evaluate EPUs,NEFMC,unable to start in 2020,33,,,Determine thresholds for re-evaluation. ,